# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.54
2                      32.13
4                      34.54
8                      36.10
16                     37.18
32                     38.86
64                     35.73
128                    40.07
256                    54.53
512                    84.48
1024                  116.52
2048                  174.48
4096                  287.71
8192                  502.68
16384                1249.65
32768                2141.83
65536                2624.46
131072               5244.09
262144               9313.58
524288              17292.22
1048576             32964.91

MPICH Slingshot Network Summary: 1 network timeouts

