# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.72
2                      32.61
4                      34.65
8                      36.44
16                     37.42
32                     38.62
64                     35.94
128                    40.03
256                    54.72
512                    84.40
1024                  119.00
2048                  179.27
4096                  289.89
8192                  504.46
16384                1253.34
32768                2149.55
65536                2641.07
131072               5148.52
262144               9121.53
524288              17088.43
1048576             33150.23
