# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      25.99
2                      34.10
4                      36.59
8                      39.41
16                     40.19
32                     42.75
64                     40.05
128                    46.65
256                   155.50
512                   118.18
1024                  128.47
2048                  186.81
4096                  294.23
8192                  500.85
16384                1205.75
32768                2412.61
65536                2882.15
131072               4822.40
262144               9270.73
524288              17235.18
1048576             32790.87
