# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      35.55
2                      37.15
4                      39.40
8                      42.01
16                     45.35
32                     47.79
64                     50.13
128                    60.54
256                    76.77
512                   147.37
1024                  163.11
2048                  235.10
4096                 1159.24
8192                 2207.81
16384                9472.83
32768                9819.44
65536               10822.05
131072              12517.75
262144              16069.87
524288              22150.41
1048576             34087.80

MPICH Slingshot Network Summary: 21 network timeouts

