# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      21.24
8                      21.17
16                     20.98
32                     21.10
64                     21.31
128                    23.25
256                    32.39
512                    37.40
1024                   40.03
2048                   43.28
4096                   47.72
8192                   57.38
16384                  79.23
32768                  93.61
65536                 113.97
131072                153.82
262144                236.41
524288                406.22
1048576               847.32
