# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.05
8                      20.08
16                     20.29
32                     20.20
64                     20.35
128                    21.84
256                    31.10
512                    35.75
1024                   37.83
2048                   41.26
4096                   46.22
8192                  129.12
16384                  77.43
32768                  90.97
65536                 114.13
131072                153.64
262144                234.32
524288                408.22
1048576               862.43
