# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      21.37
8                      21.53
16                     21.43
32                     21.30
64                     21.61
128                    23.41
256                    37.57
512                    37.85
1024                   41.46
2048                   44.08
4096                   48.62
8192                   80.83
16384                 220.89
32768                 253.53
65536                 261.38
131072                270.70
262144                284.05
524288                336.48
1048576               523.41
