# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      21.96
8                      21.62
16                     25.25
32                     21.44
64                     21.62
128                    23.37
256                    37.08
512                    37.61
1024                   40.80
2048                   43.67
4096                   48.51
8192                   83.23
16384                 220.81
32768                 247.73
65536                 262.91
131072                269.51
262144                283.96
524288                334.51
1048576               432.34
