# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.42
8                      21.22
16                     20.49
32                     20.47
64                     20.56
128                    22.26
256                    35.72
512                    36.08
1024                   39.18
2048                   42.51
4096                   48.17
8192                  141.23
16384                 219.01
32768                 248.01
65536                 263.30
131072                276.37
262144                306.33
524288                357.85
1048576               436.24
