# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      44.70
2                      46.54
4                      56.75
8                      57.55
16                     61.45
32                     63.30
64                     65.41
128                    71.24
256                   186.61
512                   477.00
1024                  409.54
2048                  231.05
4096                  229.85
8192                  277.69
16384                 366.79
32768                 518.79
65536                1075.12
131072               2375.21
262144               4901.82
524288               9992.59
1048576             20091.84
