# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      43.27
2                      44.86
4                      55.30
8                      56.00
16                     60.53
32                     61.78
64                     65.33
128                    99.76
256                    85.02
512                   170.72
1024                  183.56
2048                  190.15
4096                  215.41
8192                  283.73
16384                 395.06
32768                 539.43
65536                1115.88
131072               2536.23
262144               4841.58
524288               9985.82
1048576             19523.99
