# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      45.38
2                      47.24
4                      57.61
8                      58.08
16                     62.49
32                     63.65
64                     77.92
128                    84.58
256                   188.15
512                   526.37
1024                  568.52
2048                  231.86
4096                  247.45
8192                  325.29
16384                 383.65
32768                 487.74
65536                 937.85
131072               1969.65
262144               3943.57
524288               8066.97
1048576             16614.08
