# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      46.25
2                      47.27
4                      57.76
8                      58.98
16                     62.50
32                     64.16
64                     77.81
128                    84.74
256                   177.40
512                   441.87
1024                  436.95
2048                  288.58
4096                  248.98
8192                  318.85
16384                 384.21
32768                 469.59
65536                 945.00
131072               1979.64
262144               3946.53
524288               8022.63
1048576             16574.93
