# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      44.41
2                      45.75
4                      56.10
8                      56.63
16                     60.88
32                     62.48
64                     77.41
128                   115.57
256                   100.89
512                   164.26
1024                  191.99
2048                  195.07
4096                  211.80
8192                  301.53
16384                 375.17
32768                 462.65
65536                 947.07
131072               2136.88
262144               3891.30
524288               7966.19
1048576             16164.90
