# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     318.72
2                     318.07
4                     318.49
8                     319.79
16                    317.68
32                    317.95
64                    320.94
128                   323.92
256                   326.93
512                   337.79
1024                  364.74
2048                  423.88
4096                  870.42
8192                  844.01
16384                1542.19
32768                3177.27
65536              201966.09
131072              11009.14
262144              11114.39
524288               3607.53
1048576              4303.23

MPICH Slingshot Network Summary: 66 network timeouts

