# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     315.98
2                     314.66
4                     315.33
8                     316.69
16                    318.28
32                    318.18
64                    320.94
128                   324.38
256                   327.44
512                   337.74
1024                  356.32
2048                  401.13
4096                  740.68
8192                  743.24
16384                1495.29
32768                3375.51
65536               69917.73
131072              11278.80
262144              11342.88
524288               3374.54
1048576              4094.60
