# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                    1210.61
2                    1209.75
4                    1212.58
8                    1217.96
16                   1215.11
32                   1215.83
64                   1227.53
128                  1240.35
256                  1248.19
512                  1290.82
1024                 1409.30
2048                 1662.88
4096                 3191.95
8192                 3218.65
16384                6524.46
32768               13515.35
65536              359056.86
131072              45659.90
262144              45916.15
524288              14433.74
1048576             17250.13
