# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                   20997.15
8                   20988.17
16                  20999.23
32                  22554.37
64                     80.50
128                    82.01
256                    85.36
512                    90.77
1024                   97.28
2048                  109.05
4096                  110.06
8192                  109.19
16384                 116.22
32768                 123.89
65536                 149.57
131072                195.10
262144                313.82
524288                355.38
1048576               446.14

MPICH Slingshot Network Summary: 94 network timeouts

