# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                   13726.28
8                   13700.01
16                  13558.21
32                  14459.12
64                     86.26
128                    87.54
256                    90.46
512                    95.89
1024                  106.36
2048                  192.14
4096                  122.74
8192                  122.72
16384                 164.71
32768                 149.85
65536               25154.89
131072              21968.77
262144                342.86
524288                400.09
1048576               638.90
