# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     621.29
2                     593.93
4                     594.47
8                     594.10
16                    595.35
32                    593.18
64                    595.96
128                   598.55
256                   566.55
512                  1598.24
1024                  578.35
2048                  614.22
4096                  651.51
8192                10685.45
16384                2040.87
32768                 685.29
65536                1166.42
131072               1677.09
262144               3432.34
524288               7299.44
1048576             15523.65

MPICH Slingshot Network Summary: 28 network timeouts

