# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     671.26
2                     594.01
4                     595.38
8                     598.98
16                    596.04
32                    595.28
64                    594.98
128                   597.22
256                   567.06
512                  1662.24
1024                  615.27
2048                  619.96
4096                  649.85
8192                 9627.55
16384                2032.74
32768                 689.89
65536                1164.77
131072               1683.61
262144               3478.45
524288               7271.40
1048576             15542.07
