# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     580.27
2                     574.07
4                     575.53
8                     573.78
16                    576.34
32                    576.96
64                    578.76
128                   578.47
256                   548.31
512                   550.29
1024                  560.96
2048                  599.82
4096                  679.36
8192                 2654.09
16384                2645.69
32768                 728.10
65536                1236.92
131072               1668.08
262144               3504.97
524288               7133.72
1048576             15016.65
