# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      51.17
2                      50.09
4                      50.10
8                      49.92
16                     50.20
32                     50.97
64                     50.62
128                    50.79
256                    51.22
512                    51.45
1024                   49.22
2048                   50.93
4096                   51.30
8192                   52.92
16384                  53.25
32768                  59.27
65536                  66.18
131072                 80.24
262144                106.51
524288                157.59
1048576               260.93
