# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      41.68
2                      38.87
4                      41.14
8                      46.29
16                     61.67
32                     62.97
64                     64.85
128                    64.75
256                    68.87
512                    78.52
1024                   98.70
2048                  138.01
4096                  203.02
8192                  330.86
16384                1001.07
32768                1105.33
65536                1414.27
131072               2542.68
262144               5035.17
524288               9731.05
1048576             19167.12
