# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      33.97
8                      33.31
16                     33.36
32                     33.30
64                     33.43
128                    33.51
256                    35.55
512                    36.71
1024                   58.12
2048                   63.40
4096                   96.07
8192                   99.01
16384                 102.32
32768                 102.22
65536                 118.58
131072                 97.47
262144                 98.32
524288                102.05
1048576               109.38
