# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      12.02
8                      12.15
16                     12.39
32                     12.01
64                     11.85
128                    13.00
256                    14.43
512                    29.22
1024                   49.14
2048                   54.53
4096                   92.82
8192                   99.98
16384                 105.59
32768                 115.58
65536                 118.28
131072                141.51
262144                196.76
524288                324.30
1048576               706.75
