# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      66.14
2                      65.70
4                      65.60
8                      66.10
16                     66.68
32                     67.86
64                     68.86
128                    94.25
256                    98.14
512                    99.02
1024                   78.50
2048                   78.67
4096                   79.44
8192                  128.18
16384                 134.90
32768                 127.85
65536                 111.79
131072                119.52
262144                229.44
524288                495.07
1048576               906.22
