# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     101.72
2                      98.48
4                      98.24
8                      98.87
16                    101.18
32                    101.92
64                    128.91
128                   129.22
256                   132.71
512                   136.47
1024                  106.54
2048                  105.99
4096                  107.60
8192                  114.77
16384                 121.99
32768                 125.95
65536                 128.54
131072                231.08
262144                498.13
524288               1385.34
1048576              2548.31
