# OSU NCCL-CUDA Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      16.90
2                      15.54
4                      15.52
8                      15.45
16                     15.45
32                     15.48
64                     15.45
128                    15.45
256                    15.40
512                    15.45
1024                   15.50
2048                   15.98
4096                   17.12
8192                   17.49
16384                  17.88
32768                  18.39
65536                  18.62
131072                 20.24
262144                 22.74
524288                 27.63
1048576                43.59
