# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      23.95
8                      23.77
16                     23.82
32                     23.80
64                     25.08
128                    25.05
256                    25.07
512                    25.10
1024                   25.64
2048                   26.33
4096                   27.68
8192                   30.55
16384                  33.43
32768                  59.36
65536                  88.97
131072                105.82
262144                144.76
524288                 94.92
1048576               119.95
