# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     103.07
2                     101.60
4                     101.17
8                     101.05
16                    100.33
32                     99.69
64                     99.31
128                    99.59
256                    96.81
512                    96.30
1024                   96.27
2048                   96.82
4096                   97.68
8192                  101.86
16384                 107.73
32768                 128.52
65536                 191.33
131072                323.76
262144                603.44
524288               1107.67
1048576              2366.19
