
0 gpu 4 1

0 gpu 4 1

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       1.94              Pass
2                       3.84              Pass
4                       7.65              Pass
8                      15.67              Pass
16                     31.21              Pass
32                     62.67              Pass
64                    125.52              Pass
128                   249.95              Pass
256                   486.18              Pass
512                   968.85              Pass
1024                 1918.36              Pass
2048                 3833.22              Pass
4096                 7634.80              Pass
8192                15492.61              Pass
16384               25476.30              Pass
32768               31635.20              Pass
65536               37681.80              Pass
131072              41580.17              Pass
262144              40646.79              Pass
524288              40453.07              Pass
1048576             40947.09              Pass
2097152             40589.43              Pass
4194304             40570.72              Pass
