
0 gpu 4 1

0 gpu 4 1

# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       2.47              Pass
2                       4.85              Pass
4                       9.65              Pass
8                      19.71              Pass
16                     39.33              Pass
32                     78.80              Pass
64                    159.42              Pass
128                   312.04              Pass
256                   602.88              Pass
512                  1167.97              Pass
1024                 2196.97              Pass
2048                 3979.23              Pass
4096                 6542.19              Pass
8192                 9076.54              Pass
16384               11103.17              Pass
32768               30778.31              Pass
65536               37254.34              Pass
131072              41235.48              Pass
262144              40372.37              Pass
524288              40321.91              Pass
1048576             40538.13              Pass
2097152             40911.52              Pass
4194304             40749.80              Pass
