0 gpu 4 2
1 gpu 2 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       5.63              Pass
2                      11.16              Pass
4                      22.55              Pass
8                      45.35              Pass
16                     82.29              Pass
32                    165.19              Pass
64                    327.86              Pass
128                   460.59              Pass
256                   884.01              Pass
512                  1433.43              Pass
1024                 2621.38              Pass
2048                 5010.76              Pass
4096                 9416.59              Pass
8192                14404.80              Pass
16384               22372.66              Pass
32768               31462.43              Pass
65536               42421.79              Pass
131072              55356.32              Pass
262144              42407.49              Pass
524288              28234.96              Pass
1048576             22945.99              Pass
2097152             20889.01              Pass
4194304             19645.73              Pass
