1 gpu 2 2
0 gpu 4 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       5.48              Pass
2                      10.85              Pass
4                      21.92              Pass
8                      44.44              Pass
16                     80.79              Pass
32                    158.03              Pass
64                    318.51              Pass
128                   467.66              Pass
256                   913.06              Pass
512                  1450.89              Pass
1024                 2639.41              Pass
2048                 4959.60              Pass
4096                 9487.79              Pass
8192                14449.98              Pass
16384               22326.21              Pass
32768               29881.79              Pass
65536               38621.57              Pass
131072              55313.10              Pass
262144              42815.37              Pass
524288              27863.97              Pass
1048576             24389.19              Pass
2097152             20572.72              Pass
4194304             20288.82              Pass
