
1 gpu 2 2

0 gpu 4 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       5.63              Pass
2                      10.49              Pass
4                      21.86              Pass
8                      44.41              Pass
16                     83.54              Pass
32                    161.66              Pass
64                    325.28              Pass
128                   461.25              Pass
256                   887.20              Pass
512                  1422.13              Pass
1024                 2654.71              Pass
2048                 4958.76              Pass
4096                 9318.21              Pass
8192                13921.99              Pass
16384               21388.60              Pass
32768               30271.03              Pass
65536               42009.72              Pass
131072              55286.83              Pass
262144              40656.61              Pass
524288              27321.78              Pass
1048576             22732.69              Pass
2097152             20549.95              Pass
4194304             19606.41              Pass
