

1 gpu 2 2
0 gpu 4 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       5.71              Pass
2                      11.44              Pass
4                      23.34              Pass
8                      46.16              Pass
16                     84.93              Pass
32                    166.83              Pass
64                    329.71              Pass
128                   469.92              Pass
256                   899.89              Pass
512                  1435.70              Pass
1024                 2657.75              Pass
2048                 4937.14              Pass
4096                 9385.14              Pass
8192                13998.64              Pass
16384               21643.93              Pass
32768               31372.48              Pass
65536               43421.57              Pass
131072              54780.22              Pass
262144              40068.62              Pass
524288              26799.04              Pass
1048576             23222.06              Pass
2097152             21151.63              Pass
4194304             19789.74              Pass
