

1 gpu 2 2
0 gpu 4 2

# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       5.75              Pass
2                      11.64              Pass
4                      22.99              Pass
8                      45.95              Pass
16                     84.52              Pass
32                    162.96              Pass
64                    329.65              Pass
128                   474.42              Pass
256                   903.08              Pass
512                  1442.06              Pass
1024                 2648.24              Pass
2048                 4922.21              Pass
4096                 9448.46              Pass
8192                13692.03              Pass
16384               20566.49              Pass
32768               29275.23              Pass
65536               43131.11              Pass
131072              56131.20              Pass
262144              44655.34              Pass
524288              28701.63              Pass
1048576             23306.23              Pass
2097152             22280.49              Pass
4194304             19673.83              Pass
