0 gpu 4 2
1 gpu 2 2

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.43              Pass
2                       0.43              Pass
4                       0.43              Pass
8                       0.45              Pass
16                      0.55              Pass
32                      0.55              Pass
64                      0.54              Pass
128                     0.71              Pass
256                     0.72              Pass
512                     0.81              Pass
1024                    2.53              Pass
2048                    2.51              Pass
4096                    2.64              Pass
8192                   12.39              Pass
16384                  12.52              Pass
32768                  12.86              Pass
65536                  12.99              Pass
131072                 13.65              Pass
262144                 15.27              Pass
524288                 19.02              Pass
1048576                26.82              Pass
2097152                42.11              Pass
4194304                72.46              Pass
