
0 gpu 4 2

1 gpu 2 2

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.44              Pass
2                       0.43              Pass
4                       0.44              Pass
8                       0.44              Pass
16                      0.56              Pass
32                      0.55              Pass
64                      0.55              Pass
128                     0.69              Pass
256                     0.71              Pass
512                     0.82              Pass
1024                    2.69              Pass
2048                    2.72              Pass
4096                    2.81              Pass
8192                   12.95              Pass
16384                  12.61              Pass
32768                  12.91              Pass
65536                  13.15              Pass
131072                 13.79              Pass
262144                 15.42              Pass
524288                 19.06              Pass
1048576                27.17              Pass
2097152                42.45              Pass
4194304                73.03              Pass
