
0 gpu 4 2

1 gpu 2 2

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.43              Pass
2                       0.43              Pass
4                       0.44              Pass
8                       0.44              Pass
16                      0.55              Pass
32                      0.55              Pass
64                      0.56              Pass
128                     0.66              Pass
256                     0.68              Pass
512                     0.80              Pass
1024                    2.74              Pass
2048                    2.72              Pass
4096                    2.81              Pass
8192                   13.25              Pass
16384                  13.55              Pass
32768                  13.68              Pass
65536                  13.85              Pass
131072                 14.53              Pass
262144                 16.37              Pass
524288                 19.82              Pass
1048576                27.74              Pass
2097152                43.33              Pass
4194304                73.25              Pass
