

1 gpu 2 2
0 gpu 4 2

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.42              Pass
2                       0.44              Pass
4                       0.43              Pass
8                       0.43              Pass
16                      0.55              Pass
32                      0.55              Pass
64                      0.55              Pass
128                     0.66              Pass
256                     0.68              Pass
512                     0.79              Pass
1024                    2.81              Pass
2048                    2.91              Pass
4096                    2.83              Pass
8192                   13.43              Pass
16384                  13.51              Pass
32768                  13.90              Pass
65536                  14.09              Pass
131072                 14.68              Pass
262144                 16.37              Pass
524288                 20.11              Pass
1048576                27.70              Pass
2097152                43.03              Pass
4194304                73.34              Pass
