1 gpu 2 2
0 gpu 4 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.44              Pass
2                       0.44              Pass
4                       0.45              Pass
8                       0.44              Pass
16                      0.61              Pass
32                      0.61              Pass
64                      0.61              Pass
128                     0.81              Pass
256                     0.83              Pass
512                     0.86              Pass
1024                    0.91              Pass
2048                    0.91              Pass
4096                    0.95              Pass
8192                    1.10              Pass
16384                   1.32              Pass
32768                   1.68              Pass
65536                   2.30              Pass
131072                  3.60              Pass
262144                  6.98              Pass
524288                 18.32              Pass
1048576                34.04              Pass
2097152                64.67              Pass
4194304               131.83              Pass
