

1 gpu 2 2
0 gpu 4 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.43              Pass
2                       0.42              Pass
4                       0.43              Pass
8                       0.43              Pass
16                      0.62              Pass
32                      0.62              Pass
64                      0.63              Pass
128                     0.80              Pass
256                     0.76              Pass
512                     0.84              Pass
1024                    0.92              Pass
2048                    0.91              Pass
4096                    0.95              Pass
8192                    1.10              Pass
16384                   1.37              Pass
32768                   1.73              Pass
65536                   2.44              Pass
131072                  4.01              Pass
262144                  7.61              Pass
524288                 18.22              Pass
1048576                34.18              Pass
2097152                64.65              Pass
4194304               129.06              Pass
