
0 gpu 4 2

1 gpu 2 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.48              Pass
2                       0.48              Pass
4                       0.46              Pass
8                       0.44              Pass
16                      0.60              Pass
32                      0.60              Pass
64                      0.61              Pass
128                     0.78              Pass
256                     0.78              Pass
512                     0.92              Pass
1024                    0.90              Pass
2048                    0.91              Pass
4096                    0.94              Pass
8192                    1.07              Pass
16384                   1.37              Pass
32768                   1.73              Pass
65536                   2.38              Pass
131072                  3.72              Pass
262144                  8.02              Pass
524288                 17.93              Pass
1048576                33.80              Pass
2097152                63.71              Pass
4194304               131.13              Pass
