
0 gpu 4 2

1 gpu 2 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.43              Pass
2                       0.43              Pass
4                       0.44              Pass
8                       0.43              Pass
16                      0.58              Pass
32                      0.59              Pass
64                      0.59              Pass
128                     0.79              Pass
256                     0.79              Pass
512                     0.88              Pass
1024                    0.90              Pass
2048                    0.90              Pass
4096                    0.95              Pass
8192                    1.08              Pass
16384                   1.36              Pass
32768                   1.70              Pass
65536                   2.38              Pass
131072                  3.76              Pass
262144                  7.20              Pass
524288                 18.23              Pass
1048576                32.37              Pass
2097152                63.76              Pass
4194304               125.71              Pass
