

0 gpu 4 2
1 gpu 2 2

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.43              Pass
2                       0.43              Pass
4                       0.43              Pass
8                       0.45              Pass
16                      0.54              Pass
32                      0.64              Pass
64                      0.60              Pass
128                     0.67              Pass
256                     0.68              Pass
512                     0.82              Pass
1024                    2.64              Pass
2048                    2.74              Pass
4096                    2.79              Pass
8192                   13.35              Pass
16384                  13.34              Pass
32768                  13.51              Pass
65536                  13.84              Pass
131072                 14.51              Pass
262144                 16.21              Pass
524288                 19.82              Pass
1048576                27.76              Pass
2097152                43.01              Pass
4194304                73.07              Pass
