# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       1.53              Pass
2                       3.05              Pass
4                       6.11              Pass
8                      12.26              Pass
16                     24.52              Pass
32                     48.99              Pass
64                     97.99              Pass
128                   194.01              Pass
256                   392.61              Pass
512                   785.29              Pass
1024                 1560.68              Pass
2048                 3131.71              Pass
4096                 6258.20              Pass
8192                12531.57              Pass
16384               23277.67              Pass
32768               29918.67              Pass
65536               36476.78              Pass
131072              40941.63              Pass
262144              43738.23              Pass
524288              45158.06              Pass
1048576             45927.22              Pass
2097152             46308.80              Pass
4194304             46499.17              Pass
