# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.25
2                      19.18
4                      18.51
8                      18.75
16                     20.56
32                     23.06
64                     23.76
128                    24.52
256                    26.47
512                    27.80
1024                   29.37
2048                   33.55
4096                   47.44
8192                   69.24
16384                 116.12
32768                 207.17
65536                 388.65
131072                844.36
262144               1455.21
524288               2868.67
1048576              5793.43
