
# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      47.97
2                      50.25
4                      53.14
8                      68.38
16                     70.09
32                     67.22
64                    210.99
128                   223.79
256                   244.57
512                   291.84
1024                  386.17
2048                  747.01
4096                 1069.50
8192                 2365.75
16384                3580.92
32768                5975.56
65536               10963.10
131072              21178.02
262144              41147.39
524288              81445.08
1048576            166379.71
