# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.71
2                      10.59
4                      10.60
8                      10.57
16                     10.50
32                     10.75
64                     11.85
128                    12.77
256                    13.09
512                    13.49
1024                   21.48
2048                   15.55
4096                   17.97
8192                   25.31
16384                  35.75
32768                  51.18
65536                  78.03
131072                130.97
262144                238.29
524288                457.72
1048576               899.80
