# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.25
2                      15.50
4                      15.49
8                      16.32
16                     19.84
32                     20.32
64                     21.37
128                    23.06
256                    29.39
512                    29.54
1024                   32.92
2048                   52.20
4096                   72.82
8192                  102.51
16384                 165.16
32768                 295.88
65536                 585.06
131072               1136.10
262144               2191.90
524288               4669.02
1048576             10051.48
