
# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      46.54
2                      47.20
4                      48.53
8                      50.07
16                     59.66
32                     58.73
64                    199.38
128                   213.96
256                   247.11
512                   326.62
1024                  482.37
2048                  745.17
4096                  957.58
8192                 2228.98
16384                3046.79
32768                4693.31
65536                9086.48
131072              19991.26
262144              40099.25
524288              80143.19
1048576            170881.35
