# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.99
2                       3.05
4                       2.98
8                       3.07
16                      3.05
32                      3.24
64                      3.12
128                     3.96
256                     4.77
512                     5.94
1024                    6.25
2048                    7.48
4096                    9.38
8192                   14.48
16384                  25.31
32768                  53.68
65536                 113.03
131072                210.75
262144                401.18
524288                795.06
1048576              1557.73
