# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      57.79
2                      56.82
4                      56.38
8                      57.90
16                     58.50
32                     59.55
64                     60.39
128                    81.01
256                  2389.81
512                  3835.74
1024                 4317.91
2048                 3789.67
4096                 1593.45
8192                  466.43
16384                 498.74
32768                 551.02
65536                 864.13
131072               1446.74
262144               2543.08
524288               4996.64
1048576              9828.92
