
# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      85.31
2                      85.30
4                      86.21
8                     102.89
16                   2987.77
32                   4182.35
64                   1621.95
128                  1417.76
256                  1583.48
512                 11257.57
1024                 1437.70
2048                 1822.04
4096                 2134.34
8192                 4563.92
16384                5817.99
32768                8014.83
65536               12520.88
131072              21558.77
262144              42157.43
524288              75422.26
1048576            155956.72
