# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.41
2                      25.12
4                      25.54
8                      26.77
16                     25.35
32                     26.12
64                     26.79
128                    26.65
256                    26.91
512                    27.44
1024                   28.09
2048                  510.96
4096                 1011.56
8192                 1805.44
16384                1670.99
32768                1797.44
65536                1876.62
131072               1332.02
262144               1262.52
524288                814.75
1048576              1097.96
