# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      44.14
2                      44.80
4                      44.63
8                      45.25
16                     43.89
32                     43.96
64                     43.97
128                    44.09
256                    44.23
512                    44.80
1024                   45.20
2048                   49.20
4096                   63.12
8192                   64.92
16384                  66.24
32768                  68.62
65536                  74.92
131072                 87.60
262144                113.43
524288                164.92
1048576               267.58
