# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      91.62
2                      90.57
4                      91.00
8                      93.86
16                     91.05
32                     90.23
64                     90.55
128                    97.94
256                    93.33
512                    94.81
1024                   96.46
2048                  103.67
4096                  107.40
8192                  179.48
16384                 290.99
32768                 453.08
65536                 735.60
131072               1290.23
262144               2455.05
524288               4840.63
1048576              9805.62
