# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      36.21
8                      36.62
16                     36.76
32                     37.64
64                     52.50
128                    56.50
256                    59.88
512                    61.73
1024                   63.71
2048                   66.94
4096                   72.47
8192                   81.60
16384                  83.73
32768                 162.09
65536                 445.18
131072                598.51
262144                596.43
524288               1676.43
1048576              1574.75
