# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      21.83
8                      22.17
16                     22.12
32                     22.60
64                     22.22
128                    25.23
256                    30.28
512                    30.58
1024                   31.62
2048                   44.56
4096                   40.00
8192                   42.19
16384                  49.47
32768                  85.59
65536                 144.05
131072                220.38
262144                376.78
524288                696.46
1048576              1332.93
