
# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      54.40
8                      55.02
16                     55.21
32                     56.02
64                     55.65
128                    61.68
256                    89.54
512                    91.46
1024                   94.68
2048                   99.15
4096                  106.42
8192                  117.50
16384                 174.41
32768                 537.94
65536                 868.84
131072               1836.13
262144                890.81
524288               2823.22
1048576              2015.52
