# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      36.55
8                      36.48
16                     36.88
32                     36.99
64                     37.58
128                    67.54
256                    71.09
512                    74.57
1024                   77.44
2048                  136.98
4096                   88.20
8192                   95.70
16384                 107.37
32768                 144.13
65536                 188.37
131072                305.43
262144                549.53
524288               1038.40
1048576              2015.95
