
# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      51.49
8                      51.25
16                     51.37
32                     52.58
64                     54.32
128                    61.29
256                    93.54
512                    95.53
1024                   97.79
2048                  159.62
4096                  107.79
8192                  113.98
16384                 125.45
32768                 164.59
65536                 218.18
131072                353.13
262144                630.36
524288               1187.85
1048576              2296.19
